id;start_date;end_date;language
1;2020-03-30T00:09:00;2020-03-29T21:59:15;SPANISH
2;2020-03-29T04:59:11;2020-03-30T00:03:36;SPANISH
3;2020-03-29T19:54:30;2020-03-29T06:28:39;FRENCH
4;2020-03-29T11:12:01;2020-03-29T22:43:27;FRENCH
5;2020-03-29T20:42:19;2020-03-30T01:29:18;FRENCH
6;2020-03-29T14:34:40;2020-03-30T02:42:54;FRENCH
7;2020-03-29T16:20:00;2020-03-29T10:10:51;FRENCH
8;2020-03-29T15:16:13;2020-03-30T01:32:21;SPANISH
9;2020-03-29T13:57:22;2020-03-29T10:38:45;SPANISH
10;2020-03-29T22:09:26;2020-03-29T08:43:56;SPANISH
